id,publicUrl,r2Key,downloadUrl,status
"photography-featured-highlight-005-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-005.webp","photography/featured/highlight-005.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-005.jpg","pending"
"photography-featured-highlight-006-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-006.webp","photography/featured/highlight-006.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-006.jpg","pending"
"photography-featured-highlight-007-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-007.webp","photography/featured/highlight-007.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-007.jpg","pending"
"photography-featured-highlight-008-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-008.webp","photography/featured/highlight-008.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-008.jpg","pending"
"photography-featured-highlight-009-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-009.webp","photography/featured/highlight-009.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-009.jpg","pending"
"photography-featured-highlight-010-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-010.webp","photography/featured/highlight-010.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-010.jpg","pending"
"photography-featured-highlight-011-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-011.webp","photography/featured/highlight-011.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-011.jpg","pending"
"photography-featured-highlight-012-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-012.webp","photography/featured/highlight-012.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-012.jpg","pending"
"photography-featured-highlight-013-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-013.webp","photography/featured/highlight-013.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-013.jpg","pending"
"photography-featured-highlight-014-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-014.webp","photography/featured/highlight-014.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-014.jpg","pending"
"photography-featured-highlight-015-webp","https://photo.goldenyearsphoto.com/photography/featured/highlight-015.webp","photography/featured/highlight-015.webp","https://2026readdy.goldennextai.com/14-photography-featured-portfolio-need-15/goldenyears-taipei-featured-portfolio-highlights-015.jpg","pending"
"photography-hero-main-webp","https://photo.goldenyearsphoto.com/photography/hero/main.webp","photography/hero/main.webp","https://2026readdy.goldennextai.com/13-photography-service-hero-quote-need-2/taipei-portrait-photography-service-hero-001.jpg","pending"
"portfolio-campaign-election-001-webp","https://photo.goldenyearsphoto.com/portfolio/campaign/election-001.webp","portfolio/campaign/election-001.webp","https://2026readdy.goldennextai.com/campaign-portrait-election/taipei-campaign-election-portrait-photo-001.jpg","pending"
"portfolio-campaign-election-003-webp","https://photo.goldenyearsphoto.com/portfolio/campaign/election-003.webp","portfolio/campaign/election-003.webp","https://2026readdy.goldennextai.com/campaign-portrait-election/taipei-campaign-election-portrait-photo-003.jpg","pending"
"portfolio-campaign-election-004-webp","https://photo.goldenyearsphoto.com/portfolio/campaign/election-004.webp","portfolio/campaign/election-004.webp","https://2026readdy.goldennextai.com/campaign-portrait-election/taipei-campaign-election-portrait-photo-004.jpg","pending"
"portfolio-corporate-group-001-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-001.webp","portfolio/corporate/group-001.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-001.jpg","pending"
"portfolio-corporate-group-002-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-002.webp","portfolio/corporate/group-002.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-002.jpg","pending"
"portfolio-corporate-group-003-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-003.webp","portfolio/corporate/group-003.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-003.jpg","pending"
"portfolio-corporate-group-004-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-004.webp","portfolio/corporate/group-004.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-004.jpg","pending"
"portfolio-corporate-group-005-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-005.webp","portfolio/corporate/group-005.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-005.jpg","pending"
"portfolio-corporate-group-006-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-006.webp","portfolio/corporate/group-006.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-006.jpg","pending"
"portfolio-corporate-group-007-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-007.webp","portfolio/corporate/group-007.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-007.jpg","pending"
"portfolio-corporate-group-008-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-008.webp","portfolio/corporate/group-008.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-008.jpg","pending"
"portfolio-corporate-group-009-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-009.webp","portfolio/corporate/group-009.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-009.jpg","pending"
"portfolio-corporate-group-010-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-010.webp","portfolio/corporate/group-010.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-010.jpg","pending"
"portfolio-corporate-group-011-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-011.webp","portfolio/corporate/group-011.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-011.jpg","pending"
"portfolio-corporate-group-012-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-012.webp","portfolio/corporate/group-012.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-012.jpg","pending"
"portfolio-corporate-group-013-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-013.webp","portfolio/corporate/group-013.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-013.jpg","pending"
"portfolio-corporate-group-014-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-014.webp","portfolio/corporate/group-014.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-014.jpg","pending"
"portfolio-corporate-group-015-webp","https://photo.goldenyearsphoto.com/portfolio/corporate/group-015.webp","portfolio/corporate/group-015.webp","https://2026readdy.goldennextai.com/17-portfolio-corporate-group-taipei-need-15/taipei-corporate-team-photography-portfolio-015.jpg","pending"
"portfolio-couple-session-001-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-001.webp","portfolio/couple/session-001.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-001.jpg","pending"
"portfolio-couple-session-002-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-002.webp","portfolio/couple/session-002.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-002.jpg","pending"
"portfolio-couple-session-003-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-003.webp","portfolio/couple/session-003.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-003.jpg","pending"
"portfolio-couple-session-004-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-004.webp","portfolio/couple/session-004.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-004.jpg","pending"
"portfolio-couple-session-005-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-005.webp","portfolio/couple/session-005.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-005.jpg","pending"
"portfolio-couple-session-006-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-006.webp","portfolio/couple/session-006.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-006.jpg","pending"
"portfolio-couple-session-007-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-007.webp","portfolio/couple/session-007.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-007.jpg","pending"
"portfolio-couple-session-008-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-008.webp","portfolio/couple/session-008.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-008.jpg","pending"
"portfolio-couple-session-009-webp","https://photo.goldenyearsphoto.com/portfolio/couple/session-009.webp","portfolio/couple/session-009.webp","https://2026readdy.goldennextai.com/20-portfolio-couple-taipei-need-15/taipei-couple-photoshoot-portfolio-studio-009.jpg","pending"
